signup_month,acquisition_channel,signups,activated_members,activation_rate,retained_members,retention_rate_45d
2025-01-01,Partner,18,13,0.722,8,0.444
2025-01-01,Web,20,12,0.6,7,0.35
2025-01-01,Referral,24,14,0.583,14,0.583
2025-01-01,Outreach,18,10,0.556,8,0.444
2025-02-01,Referral,29,20,0.69,18,0.621
2025-02-01,Partner,19,12,0.632,11,0.579
2025-02-01,Web,20,10,0.5,5,0.25
2025-02-01,Outreach,21,6,0.286,3,0.143
2025-03-01,Referral,30,23,0.767,20,0.667
2025-03-01,Partner,14,7,0.5,7,0.5
2025-03-01,Web,25,12,0.48,9,0.36
2025-03-01,Outreach,16,6,0.375,5,0.313
2025-04-01,Partner,14,8,0.571,7,0.5
2025-04-01,Outreach,15,7,0.467,7,0.467
2025-04-01,Referral,16,7,0.438,5,0.313
2025-04-01,Web,14,3,0.214,3,0.214
2025-05-01,Referral,27,19,0.704,16,0.593
2025-05-01,Partner,17,11,0.647,6,0.353
2025-05-01,Outreach,16,8,0.5,5,0.313
2025-05-01,Web,22,9,0.409,8,0.364
2025-06-01,Referral,22,14,0.636,13,0.591
2025-06-01,Web,28,13,0.464,11,0.393
2025-06-01,Partner,11,5,0.455,5,0.455
2025-06-01,Outreach,24,7,0.292,7,0.292
