cohort_month,month_number,cohort_size,active_members,retention_rate
2025-01-01,0,80,47,0.588
2025-01-01,1,80,58,0.725
2025-01-01,2,80,48,0.6
2025-01-01,3,80,45,0.563
2025-01-01,4,80,41,0.512
2025-01-01,5,80,35,0.438
2025-01-01,6,80,35,0.438
2025-02-01,0,89,36,0.404
2025-02-01,1,89,62,0.697
2025-02-01,2,89,48,0.539
2025-02-01,3,89,46,0.517
2025-02-01,4,89,48,0.539
2025-02-01,5,89,52,0.584
2025-02-01,6,89,42,0.472
2025-03-01,0,85,47,0.553
2025-03-01,1,85,68,0.8
2025-03-01,2,85,47,0.553
2025-03-01,3,85,50,0.588
2025-03-01,4,85,40,0.471
2025-03-01,5,85,50,0.588
2025-03-01,6,85,40,0.471
2025-04-01,0,59,28,0.475
2025-04-01,1,59,48,0.814
2025-04-01,2,59,27,0.458
2025-04-01,3,59,27,0.458
2025-04-01,4,59,29,0.492
2025-04-01,5,59,25,0.424
2025-04-01,6,59,24,0.407
2025-05-01,0,82,43,0.524
2025-05-01,1,82,58,0.707
2025-05-01,2,82,49,0.598
2025-05-01,3,82,44,0.537
2025-05-01,4,82,34,0.415
2025-05-01,5,82,46,0.561
2025-05-01,6,82,45,0.549
2025-06-01,0,85,38,0.447
2025-06-01,1,85,65,0.765
2025-06-01,2,85,46,0.541
2025-06-01,3,85,44,0.518
2025-06-01,4,85,43,0.506
2025-06-01,5,85,40,0.471
2025-06-01,6,85,37,0.435
