site_id,site_name,region,month_start,scheduled_events,completed_services,active_members,completion_rate,target_attainment,prior_month_services,month_over_month_change,rolling_3m_services,monthly_site_rank
S001,Harbor,North,2025-01-01,15,15,10,1.0,0.273,,,15.0,1
S005,Meadow,North,2025-01-01,7,7,7,1.0,0.14,,,7.0,2
S007,Summit,East,2025-01-01,7,7,6,1.0,0.13,,,7.0,3
S008,Park,West,2025-01-01,6,6,5,1.0,0.105,,,6.0,4
S002,Riverside,South,2025-01-01,6,6,5,1.0,0.1,,,6.0,5
S003,Cedar,East,2025-01-01,5,5,5,1.0,0.096,,,5.0,6
S006,Juniper,South,2025-01-01,5,5,5,1.0,0.089,,,5.0,7
S004,Lakeside,West,2025-01-01,4,4,4,1.0,0.069,,,4.0,8
S003,Cedar,East,2025-02-01,25,24,16,0.96,0.462,5,3.8,14.5,1
S001,Harbor,North,2025-02-01,27,24,17,0.889,0.436,15,0.6,19.5,2
S005,Meadow,North,2025-02-01,20,18,14,0.9,0.36,7,1.571,12.5,3
S007,Summit,East,2025-02-01,16,14,11,0.875,0.259,7,1.0,10.5,4
S008,Park,West,2025-02-01,14,13,11,0.929,0.228,6,1.167,9.5,5
S004,Lakeside,West,2025-02-01,15,12,10,0.8,0.207,4,2.0,8.0,6
S006,Juniper,South,2025-02-01,12,11,7,0.917,0.196,5,1.2,8.0,7
S002,Riverside,South,2025-02-01,11,11,8,1.0,0.183,6,0.833,8.5,8
S005,Meadow,North,2025-03-01,37,34,21,0.919,0.68,18,0.889,19.7,1
S007,Summit,East,2025-03-01,33,30,18,0.909,0.556,14,1.143,17.0,2
S004,Lakeside,West,2025-03-01,34,32,22,0.941,0.552,12,1.667,16.0,3
S001,Harbor,North,2025-03-01,31,28,21,0.903,0.509,24,0.167,22.3,4
S003,Cedar,East,2025-03-01,28,25,23,0.893,0.481,24,0.042,18.0,5
S008,Park,West,2025-03-01,29,26,20,0.897,0.456,13,1.0,15.0,6
S006,Juniper,South,2025-03-01,23,20,15,0.87,0.357,11,0.818,12.0,7
S002,Riverside,South,2025-03-01,21,17,17,0.81,0.283,11,0.545,11.3,8
S008,Park,West,2025-04-01,39,37,25,0.949,0.649,26,0.423,25.3,1
S007,Summit,East,2025-04-01,36,31,26,0.861,0.574,30,0.033,25.0,2
S006,Juniper,South,2025-04-01,35,32,26,0.914,0.571,20,0.6,21.0,3
S002,Riverside,South,2025-04-01,36,34,26,0.944,0.567,17,1.0,20.7,4
S001,Harbor,North,2025-04-01,33,31,24,0.939,0.564,28,0.107,27.7,5
S004,Lakeside,West,2025-04-01,35,32,24,0.914,0.552,32,0.0,25.3,6
S005,Meadow,North,2025-04-01,29,24,20,0.828,0.48,34,-0.294,25.3,7
S003,Cedar,East,2025-04-01,30,21,18,0.7,0.404,25,-0.16,23.3,8
S003,Cedar,East,2025-05-01,43,38,31,0.884,0.731,21,0.81,28.0,1
S002,Riverside,South,2025-05-01,45,41,35,0.911,0.683,34,0.206,30.7,2
S007,Summit,East,2025-05-01,39,35,29,0.897,0.648,31,0.129,32.0,3
S006,Juniper,South,2025-05-01,35,32,28,0.914,0.571,32,0.0,28.0,4
S001,Harbor,North,2025-05-01,35,30,26,0.857,0.545,31,-0.032,29.7,5
S004,Lakeside,West,2025-05-01,37,31,28,0.838,0.534,32,-0.031,31.7,6
S008,Park,West,2025-05-01,37,29,28,0.784,0.509,37,-0.216,30.7,7
S005,Meadow,North,2025-05-01,30,22,20,0.733,0.44,24,-0.083,26.7,8
S004,Lakeside,West,2025-06-01,61,49,40,0.803,0.845,31,0.581,37.3,1
S001,Harbor,North,2025-06-01,47,41,36,0.872,0.745,30,0.367,34.0,2
S002,Riverside,South,2025-06-01,50,44,34,0.88,0.733,41,0.073,39.7,3
S006,Juniper,South,2025-06-01,45,41,33,0.911,0.732,32,0.281,35.0,4
S003,Cedar,East,2025-06-01,43,37,28,0.86,0.712,38,-0.026,32.0,5
S008,Park,West,2025-06-01,41,38,37,0.927,0.667,29,0.31,34.7,6
S005,Meadow,North,2025-06-01,31,28,24,0.903,0.56,22,0.273,24.7,7
S007,Summit,East,2025-06-01,39,29,24,0.744,0.537,35,-0.171,31.7,8
S001,Harbor,North,2025-07-01,60,47,41,0.783,0.855,41,0.146,39.3,1
S008,Park,West,2025-07-01,50,43,35,0.86,0.754,38,0.132,36.7,2
S004,Lakeside,West,2025-07-01,45,42,35,0.933,0.724,49,-0.143,40.7,3
S006,Juniper,South,2025-07-01,48,40,38,0.833,0.714,41,-0.024,37.7,4
S003,Cedar,East,2025-07-01,43,37,30,0.86,0.712,37,0.0,37.3,5
S007,Summit,East,2025-07-01,44,35,30,0.795,0.648,29,0.207,33.0,6
S002,Riverside,South,2025-07-01,42,36,33,0.857,0.6,44,-0.182,40.3,7
S005,Meadow,North,2025-07-01,38,28,26,0.737,0.56,28,0.0,26.0,8
S001,Harbor,North,2025-08-01,52,36,34,0.692,0.655,47,-0.234,41.3,1
S004,Lakeside,West,2025-08-01,43,34,34,0.791,0.586,42,-0.19,41.7,2
S002,Riverside,South,2025-08-01,43,35,34,0.814,0.583,36,-0.028,38.3,3
S005,Meadow,North,2025-08-01,32,27,27,0.844,0.54,28,-0.036,27.7,4
S003,Cedar,East,2025-08-01,39,28,27,0.718,0.538,37,-0.243,34.0,5
S006,Juniper,South,2025-08-01,41,28,27,0.683,0.5,40,-0.3,36.3,6
S007,Summit,East,2025-08-01,33,26,26,0.788,0.481,35,-0.257,30.0,7
S008,Park,West,2025-08-01,30,25,25,0.833,0.439,43,-0.419,35.3,8
